Page ID,Page name,Disclaimer,Amount spent (MYR)
102225645302483,Teman Asal Perak,These ads ran without a disclaimer,172
157791694829873,Manndzri,Manndzri,172
242624549154600,Wong Kah Woh,DAP IPOH TIMOR,172
113456700986972,Malaysia Momentum,Malaysia Harmoni,169
199039390167044,Ameerah Malaysia,Ameerah Malaysia,167
103164978195601,Fadzli Kamal,Fadzli Bin Mohamad Kamal,162
134750209898122,Chang Lih Kang,Chang Lih Kang,160
287683225711,UN Environment Programme,UN Environment Programme,157
112512589548367,Bersih dan Stabil : BEST,Bersih dan Stabil : BEST,156
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,156
104231918021693,Malaysiapost,Malaysiapost,156
172896853380686,Adamelgabry,These ads ran without a disclaimer,147
845030752174530,Ameerah Melaka,Ameerah Melaka,147
166738750044444,Sunway Group,Christine Lim May Chuen,146
154574060056739,Warta Rakyat,Warta Rakyat,145
355049075348500,Oka空气净化机,These ads ran without a disclaimer,144
102775121921554,Ir. Dr. Wayne Lee 李伟贤博士,Ir. Dr. Lee Wai Yin 李伟贤,144
151968742120671,Cikgu Zaiton Latiff,Parti Amanah Negara,138
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,136
163611310997367,Kubang Kerian Sejahtera,Kubang Kerian Sejahtera,135
374063479646229,Perikatan Nasional Lumut,Perikatan Nasional Lumut,134
196573983368,Harakahdaily,JABATAN PENERANGAN,132
1423737014545999,I'm Malaysian 我是马来西亚人,I'm Malaysian 我是马来西亚人,132
105092165629715,Vimigo老板加油站,These ads ran without a disclaimer,131
552161591542177,MP BBQ Steamboat,These ads ran without a disclaimer,130
212554495440954,Dato Sri Izudin Ishak,Izudin Bin Ishak,129
104488658370453,Wise Angel Training & Consultancy,These ads ran without a disclaimer,127
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,127
144912392365553,Dato' Ahmad Yakob,Dato' Ahmad Yakob,126
101979744919828,S. Jayagopi Calon BN N.30 Buntong,S. Jayagopi Calon BN N.30 Buntong,125
620012405150360,One2FunCraft Studio 温度工作室,One2FunCraft Studio 温度工作室,123
243677776430540,丹斯里 李金友 Tan Sri Lee Kim Yew,Golden Horse Digital Investment Bank,122
108600975199740,林慧贤 Lim Huey Shan,Lim Huey Shan,121
371737160366,Sarawak Update,Abdul Hakim Bin Bujang,120
560429700762980,PAS SHAH ALAM,PAS SHAH ALAM,120
254995132100881,Lumut Di Parit,Lumut Di Parit,119
115531496522198,Ustaz Zamani Ibrahim,Ustaz Zamani Ibrahim,119
103883872539224,Ridhwan Rasman P156 Kota Tinggi,Umar Bin Abdul Aziz,118
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,114
429100183890772,邹宇晖,DAP MALAYSIA,114
113818274080624,Malaysia Sentinel,Malaysia Sentinel,113
110299191888159,CikguShan_Aulong,These ads ran without a disclaimer,113
181209151921795,Parti Keadilan Rakyat,Parti Keadilan Rakyat,112
115195725281815,Noh Omar,Noh Omar,111
1552968798293147,Suara.TV,Suara.TV,110
102563918896038,Perikatan Nasional for Malaysia,Widanita Shahnaz Bt Mohd Mokhsin,109
1173992416022994,Wardah Media,Wardah Media,106
647036338824906,Tan Chee Hiong 陈志雄,Tan Chee Hiong 陈志雄,106
112336401483901,EXCommerce-Live,These ads ran without a disclaimer,104
105095057904484,William Leong 梁自坚,Swee Sheun Lee,103
169284053121990,Pemuda PAS Bangi,These ads ran without a disclaimer,102
109397945250592,Rumah Selangorku Cyberjaya,These ads ran without a disclaimer,101
1723464574592781,Evolusi Hijab,These ads ran without a disclaimer,≤100
103364274717362,ONG SENG GUAN 王星元,These ads ran without a disclaimer,≤100
190448591107687,Fairuz Jamaludin Ledang,Fairuz Edzuan Bin Jamaludin,≤100
104637804225920,NTS Printing,NTS Printing,≤100
528262633921715,Pemuda PAS Shah Alam,Pemuda PAS Shah Alam,≤100
853602354798614,Haji Rahim Ismail,Haji Rahim Ismail,≤100
38348181435,Khalid Samad,AMANAH,≤100
654227084641097,Datuk Dr. Zulkifli Mohamad al-Bakri,Datuk Dr. Zulkifli Mohamad al-Bakri,≤100
109978830534400,Dr Dominic Lau Hoe Chai,PGRM,≤100
198966677219713,Faisal Abd Rahman,Faisal Abd Rahman,≤100
103117404929533,九鹿小說,These ads ran without a disclaimer,≤100
102687825969084,Mohamad Yahaya,AMANAH,≤100
112271548150918,Al Fahana,These ads ran without a disclaimer,≤100
641355653174364,Muhamad Nakhaie Abd Wahab,Muhamad Nakhaie Abd Wahab,≤100
928874154117959,Azli Yusof,AMANAH,≤100
1423136211324341,南洋商报 Nanyang Siang Pau,These ads ran without a disclaimer,≤100
239569229428097,IKEA,These ads ran without a disclaimer,≤100
441795545991256,療癒天使的愛情聖殿-女巫Yvette,These ads ran without a disclaimer,≤100
401340596873929,The True Net,Yoke Har Ng,≤100
139480122842692,OLDTOWN White Coffee Malaysia,These ads ran without a disclaimer,≤100
345717225799009,Kelvin Yii Lee Wuen 俞利文,Kelvin Yii Lee Wuen,≤100
103364274717362,ONG SENG GUAN 王星元,Seng Guan Ong,≤100
1298058263542976,Setia Pak Mail,Setia Pak Mail,≤100
111064911526774,Advanced Centre for Addiction Treatment Advocacy - ACATA,Advanced Centre for Addiction Treatment Advocacy - ACATA,≤100
430665967118189,Profesional Istiqamah,Profesional Istiqamah,≤100
103453738140049,Asia Pacific Investment Bank,Asia Pacific Investment Bank,≤100
101561962774411,Shaun Young 杨茂琥 P114 Kepong,My Kepong,≤100
173145969372908,Kumpulan Jihad Ekonomi,Kumpulan Jihad Ekonomi,≤100
101384989460744,Pakatan Sahabat,Vanity Maverick,≤100
2164630037156785,Adly Zahari,AMANAH,≤100
105510714351768,Razak Ridzuan Untuk Tasek Gelugor,AMANAH,≤100
239071932793074,Dr. Muhaimin Sulam,Parti Amanah Negara,≤100
1842657632659388,Baljit Singh,Baljit Singh,≤100
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100
1831844263787221,Ustaz Zukirnain Abdul Kadir P034 Setiu,Mohd Faris Ameir Bin Ibrahim,≤100
100682875880155,Doctor's Voice,Doctor's Voice,≤100
457750270999884,Mahfuz Omar,Mahfuz Omar,≤100
126732780822894,Sahabat Ustaz Idris Ahmad,Sahabat Ustaz Idris Ahmad,≤100
104799555689134,Tan Lee Huat（陈利发）,Tan Lee Huat,≤100
106285668321460,Wong Chia Zhen 黄佳祯,Wong Chia Zhen,≤100
330750857632133,Che'GuBard Original,Ahmad Anwar Asyraf Bin Ismail,≤100
2215045608817369,Nolee Radzi,Wan Harisun,≤100
111856961739029,N.M.Rajah,Rajah Narasaim,≤100
100251029574040,Hj Lihin P141Sekijang,Norsyahril Bin Kamarudin,≤100
101737126007726,OUSDY,These ads ran without a disclaimer,≤100
107382207626058,R.Yuneswaran,Yuneswaran A/L Ramaraj,≤100
111129770301065,Siri Bestnya,Siri Bestnya,≤100
214066990599,Berita Harian Online,These ads ran without a disclaimer,≤100
102780751193893,Threebs.co,Threebs.co,≤100
226641550769331,Dilmah Conservation,These ads ran without a disclaimer,≤100
