Page ID,Page name,Disclaimer,Amount spent (MYR)
202159623191198,Kosmo Online,Kosmo Online,144
470493726765993,Ustaz Meor M. Azim,Ustaz Meor M. Azim,142
332038484056135,Hassanuddin Salim,These ads ran without a disclaimer,141
164492150267814,Dewan Muslimat PAS Melaka,Dewan Muslimat PAS Melaka,141
416587839184745,Negeri Sembilan Update ( N.S.U ),Negeri Sembilan Update ( N.S.U ),139
100262819409856,Hasnizan Harun,Hasnizan Harun,138
1726648214218427,Ustaz Muhammad Fawwaz Mohamad Jan,USTAZ MUHAMMAD FAWWAZ MOHAMAD JAN,136
195525274565665,Chiong Yoke Kong 张玉刚,Chiong Yoke Kong 张玉刚,133
324846571399982,Tan Sri M Ramasamy,Tan Sri M Ramasamy,132
304069066908775,Team TokMin,Team TokMin,130
157791694829873,Manndzri,Manndzri,129
110633418047043,DARE,DARE,126
560429700762980,PAS SHAH ALAM,PAS SHAH ALAM,126
1419575668348742,Gerakan Muafakat,Mohd Rais Bin Omar,125
113456700986972,Malaysia Momentum,Malaysia Harmoni,124
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,123
101117086145333,The Rakyats Voice,Henry Kueh Hsiao Wei,121
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,121
199039390167044,Ameerah Malaysia,Ameerah Malaysia,118
104915965762423,Tabung Kompleks Pembangunan IREC,Muhammad Fakhrur Razi Al Hafiy,117
166412166242,Saifuddin Abdullah,These ads ran without a disclaimer,116
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,114
102442246017431,Mersing Kite,Qayyum Zakri,114
112512589548367,Bersih dan Stabil : BEST,Bersih dan Stabil : BEST,114
845030752174530,Ameerah Melaka,Ameerah Melaka,114
149208308580838,Fuziah Salleh,Keadilan Rakyat,113
172896853380686,Adamelgabry,These ads ran without a disclaimer,109
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,109
517210464961612,刘华才博士,PGRM,109
144912392365553,Dato' Ahmad Yakob,Dato' Ahmad Yakob,108
154574060056739,Warta Rakyat,Warta Rakyat,105
384090614928,Khoo Poay Tiong (邱培栋),DAP Malaysia,105
528262633921715,Pemuda PAS Shah Alam,Pemuda PAS Shah Alam,104
163611310997367,Kubang Kerian Sejahtera,Kubang Kerian Sejahtera,104
104231918021693,Malaysiapost,Malaysiapost,103
