Page ID,Page name,Disclaimer,Amount spent (MYR)
287402298568365,Dr. Sathia Prakash Nadarajan,These ads ran without a disclaimer,343
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,334
620012405150360,One2FunCraft Studio 温度工作室,One2FunCraft Studio 温度工作室,332
1684261028524641,Pusat Pengajian Ibnu Razak,Pusat Pengajian Ibnu Razak,332
103122425063527,Mohd Tarmizi Yahaya,Nazim Bin Maarop,325
297830887404221,Manong Sejahtera,Manong Sejahtera,325
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,323
441795545991256,療癒天使的愛情聖殿-女巫Yvette,These ads ran without a disclaimer,323
109611277872855,Wong Siew Mun - 黄绍敏,Wong Siew Mun - 黄绍敏,322
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,318
16194831839,Anwar Ibrahim,Anwar Ibrahim,317
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,316
108713149189581,馬來西亞東方日報 Oriental Daily News Malaysia,馬來西亞東方日報 Oriental Daily News Malaysia,314
120324739939875,Jom Sihat,These ads ran without a disclaimer,309
116724990063808,Chan Chun Kuang 陈俊广 - CK,Chan Chun Kuang,299
172896853380686,Adamelgabry,These ads ran without a disclaimer,298
104915965762423,Tabung Kompleks Pembangunan IREC,Muhammad Fakhrur Razi Al Hafiy,293
225398407471122,黄日昇,黄日昇,292
107201848430984,民兴党Warisan中文版,Cheng Kuan Keet,288
103091001499691,Ideal Estate 4 U,Chee Keong Sum,285
2164630037156785,Adly Zahari,AMANAH,285
101986295751246,Muhamad Khaider Kamil,Muhamad Khaider Kamil,284
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,283
110633418047043,DARE,DARE,282
104799555689134,Tan Lee Huat（陈利发）,Tan Lee Huat,276
638401542848443,Shamsul Anuar Nasarah,Barisan Nasional,273
202159623191198,Kosmo Online,Kosmo Online,269
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,262
282831539130120,Andre Lai 黎正興,Lai Chen Heng,261
103453738140049,Asia Pacific Investment Bank,Asia Pacific Investment Bank,261
39535177758,Twilio,These ads ran without a disclaimer,258
110830488505576,Perikatan Nasional Klang,Muhammad Dzahiruddin Nasir,257
524923837546004,Simon Ooi Tze Min,Simon Ooi Tze Min,251
