Page ID,Page name,Disclaimer,Amount spent (MYR)
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100
166412166242,Saifuddin Abdullah,Saifuddin Abdullah,≤100
658336284498542,Dato' Mohd Rosli Ramli,Dato' Mohd Rosli Ramli,≤100
727311000732682,Parti Amanah Negara Parlimen Larut,AMANAH,≤100
108761254026335,Wanita Hamil,Evan Mcclarance Gundi Anak Kelvin Renggan,≤100
105849378942211,Liputan Malaysia MY,Liputan Malaysia,≤100
274030749389323,Pusat Khidmat ADUN Selama,Pusat Khidmat ADUN Selama,≤100
1011160672261971,Parti Amanah Negara,OREN TV,≤100
232346716925403,Majalah Forex Malaysia,MAJALAH FOREX MALAYSIA,≤100
521663081579688,Bahiki Ismail,Bahiki Ismail,≤100
678811362163260,Ir. Ts. Khairil Nizam,Pejabat Penerangan,≤100
1729275047356363,Ahmad Dullah,Aliffakhrullah Bin Roslee,≤100
144912392365553,Dato' Ahmad Yakob,Nik Mohamad Azreen Bin Nik Yahya,≤100
105095057904484,William Leong 梁自坚,Swee Sheun Lee,≤100
108722695160066,Haji Mohamed Diah,Haji Mohamed Diah,≤100
1875700096018288,Tan Chee Hiong,Tan Chee Hiong,≤100
330601991112027,Ulya Husamudin,Ulya Husamudin,≤100
100682875880155,Doctor's Voice,Doctor's Voice,≤100
100419352856507,BN COMMS Kulim / Bandar Baharu,Nuraini Yusoff,≤100
111129770301065,Siri Bestnya,Siri Bestnya,≤100
254995132100881,Lumut Di Parit,Lumut Di Parit,≤100
112336401483901,EXCommerce-Live,These ads ran without a disclaimer,≤100
100856848499442,Dr. Abd Latiff Ahmad,Mohd Ikhmal Abu Bakar,≤100
103581227696477,KAS Kenyalang,KAS KENYALANG,≤100
2482822431743416,Info PRU P004 Langkawi,Muhamad Aiman Bin Mohd Nahzeri,≤100
143451526401157,Abdul Rahim Tahir For P.063 Tambun,Abdul Rahim Bin Tahir,≤100
109978830534400,Dr Dominic Lau Hoe Chai,PGRM,≤100
161784060579927,PAS Sabah,Aliffakhrullah Bin Roslee,≤100
103316855934209,PUTRA JELI,Muhamad Nur Firdaus,≤100
1601785636742847,Muhammad Faiz Fadzil,AMANAH,≤100
560429700762980,PAS SHAH ALAM,These ads ran without a disclaimer,≤100
103164978195601,Fadzli Kamal,Fadzli Bin Mohamad Kamal,≤100
101863121947455,Dazma Shah,Dazma Shah,≤100
114561353720759,Amir Sabri,Amir Sabri,≤100
206671872710060,Rakyat Insight,Rakyat Insight,≤100
225392457942420,Shahir Adnan,Mohd Shahir Bin Adnan,≤100
297830887404221,Manong Sejahtera,Manong Sejahtera,≤100
134350940016055,Ustaz Dr Nik Zawawi Bin Salleh,These ads ran without a disclaimer,≤100
425695967637606,Sany Hamzan,AMANAH,≤100
101153759091764,Monkey Stories Malaysia,These ads ran without a disclaimer,≤100
112512589548367,Bersih dan Stabil : BEST,Muhamad Fazli Bin Abd Halim,≤100
470493726765993,Ustaz Meor M. Azim,Ustaz Meor M. Azim,≤100
112512589548367,Bersih dan Stabil : BEST,Malaysia Sejahtera,≤100
517210464961612,刘华才博士,PGRM,≤100
102442246017431,Mersing Kite,Qayyum Zakri,≤100
639585376056020,Aiman Athirah Sabu,AMANAH,≤100
110516644850618,Tuan Guru Zulkifli Ismail,These ads ran without a disclaimer,≤100
593529354077239,Akmal Nasir,Akmal Nasir,≤100
269683628139,Dewan Pemuda PAS Negeri Kelantan,Dewan Pemuda PAS Negeri Kelantan,≤100
1173992416022994,Wardah Media,Muhamad Fazli Bin Abd Halim,≤100
759075027496624,Syerleena Abdul Rashid,Syerleena Abdul Rashid,≤100
104836924402646,Ustaz Muhammad Husain - UMH,These ads ran without a disclaimer,≤100
1423737014545999,I'm Malaysian 我是马来西亚人,I'm Malaysian 我是马来西亚人,≤100
102488519333212,Ivone Low Yi Wen,Ivone Low Yi Wen,≤100
429038187157498,Nicole Tan Lee Koon（陳麗群）,Nicole Tan Lee Koon,≤100
345717225799009,Kelvin Yii Lee Wuen 俞利文,Kelvin Yii Lee Wuen,≤100
166067163728164,Dr Sim Kui Hian,N14 Dr Sim Kui Hian,≤100
2185153884869227,Dewan Pemuda PAS Negeri Kedah - DPPNK,Adnan Bin Yusof,≤100
107211378784840,牛熊投资 - 得牛熊得天下,These ads ran without a disclaimer,≤100
527705097706351,BebasNews,Rare Media Sdn. Bhd.,≤100
108611071319427,hackathonpolitik,Persatuan Pendidikan Diversiti,≤100
616858552009228,Zabri Mokhtar,Zabri Bin Mokhtar,≤100
219745198133003,Ustaz Haji Shahril Azman Bin Abd Halim Al Hafiz,Rafi'uddin Bin Kamaruddin,≤100
501503336612276,Ismail Sabri PM ke 9 dan ke 10,Aljojil Bin Hamsah,≤100
374063479646229,Perikatan Nasional Lumut,Perikatan Nasional Lumut,≤100
101779739413941,Hj. Shamsul Ma'arif Ismail,AMANAH,≤100
106087238701219,"Daftar / Renew Kad Hijau, Lesen CIDB G1-G7",These ads ran without a disclaimer,≤100
109341278575338,BN COMMS BAGAN DATUK,Barisan Nasional,≤100
101117086145333,The Rakyats Voice,These ads ran without a disclaimer,≤100
109629544854240,Harun Mohamed,AMANAH,≤100
490728928001480,ORANGKATA,ORANGKATA,≤100
130114577096206,刘镇东,DAP Malaysia,≤100
236402373940290,Syahredzan Johan,Syahredzan Johan,≤100
595201010634767,Ustaz Yohanis Ahmad,Ustaz Yohanis Ahmad,≤100
1723464574592781,Evolusi Hijab,These ads ran without a disclaimer,≤100
105801292167668,Pembiayaan Peribadi Affin Bank,These ads ran without a disclaimer,≤100
100256272901671,Johan Ropi,Johan Ropi,≤100
110694081848478,Hj. Ahmad Luqman Ahmad Yahaya,Ahmad Luqman,≤100
149195003923132,Temerloh TV,Muhamad Khalid Bin Tan,≤100
239023542869472,Salahuddin Ayub,AMANAH,≤100
528696770627084,HurunEin Malaysia,These ads ran without a disclaimer,≤100
620012405150360,One2FunCraft Studio 温度工作室,One2FunCraft Studio 温度工作室,≤100
929403260489334,Nadi Mahasiswa Malaysia,Nadi Mahasiswa Malaysia,≤100
157894104408949,Zahida Zarik Khan,Nazrul Iqkhwan Bin Najib,≤100
110616053654362,Mohamad Ali Mohamad,Mohamad Ali Bin Mohamad,≤100
102687825969084,Mohamad Yahaya,AMANAH,≤100
230445633883,Jabatan Penerangan Malaysia,Jabatan Penerangan Malaysia,≤100
103211355844396,Nazari Mokhtar,Yuhanita Binti Yunan,≤100
101073996158236,P.033 Besut- ABE ZUL,Megat Ahmad Fadhil Bin Megat Basri,≤100
269679937239626,Ustaz Mujibur Rahman bin Ishak,Sufiah Binti Muhammad Umran,≤100
105106755732039,Norwani Ahmat,AMANAH,≤100
1692040137540677,TawauKini,Kromium Digital,≤100
130325170489809,Dr Mohd Hatta Ramli,AMANAH,≤100
101737126007726,OUSDY,These ads ran without a disclaimer,≤100
107564031000716,Nor Azmi Mat Ludin,Nor Azmi Mat Ludin,≤100
195525274565665,Chiong Yoke Kong 张玉刚,Chiong Yoke Kong 张玉刚,≤100
105849531564453,有间书馆,These ads ran without a disclaimer,≤100
105510714351768,Razak Ridzuan Untuk Tasek Gelugor,AMANAH,≤100
1406892032861957,Dewan Perniagaan Melayu Malaysia,Dewan Perniagaan Melayu Malaysia,≤100
233930556693365,Khalifah Media Networks,Mohd Huzaifah Bin Muntalip,≤100
457750270999884,Mahfuz Omar,Mahfuz Omar,≤100
366904924528674,Kamarudin Jaffar,Nik Abdul Qayyum Bin Mohd Muhiden,≤100
2295922790423517,Shahrul Nasrun,Shahrul Nasrun,≤100
109369361740547,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,≤100
426888627377083,Notebook Custom Syifa,Notebook Custom Syifa,≤100
174298466127,Utusan TV,Utusan Binders Sdn. Bhd,≤100
106671865040410,Keris Mengilau,These ads ran without a disclaimer,≤100
276342006041537,Dr. Ahmad Termizi Ramli,AMANAH,≤100
1530618923841673,The Malaysia Online,The Malaysia Online,≤100
202914883373859,Manivanan Gowin,G.Manivannan A/L Gowindasamy,≤100
1440798055978585,Warisan Anak Malaysia,Parti Warisan Sabah,≤100
466564170033048,Pergerakan Pemuda UMNO Bahagian Sekijang,Mohd Hidayat Bin Mohd Nor,≤100
107411765325076,Addicto HQ,These ads ran without a disclaimer,≤100
436206506473256,Mom's House Babyshop Shah Alam HQ,These ads ran without a disclaimer,≤100
282831539130120,Andre Lai 黎正興,Lai Chen Heng,≤100
102780751193893,Threebs.co,Threebs.co,≤100
515881535150989,Dr Dzulkefly Ahmad,AMANAH,≤100
102098359364995,Wan Badariah Official,Aliffakhrullah Bin Roslee,≤100
407262292721295,Barisan Nasional,Muhammad Faqiruddin Firdaus Bin Mohd Said,≤100
355049075348500,Oka空气净化机,These ads ran without a disclaimer,≤100
